design,condition,ai_level,confidence,human_label,n,P_true_airplane,P_true_bear,P_true_bicycle,P_true_bird,P_true_boat,P_true_bottle,P_true_car,P_true_cat,P_true_chair,P_true_clock,P_true_dog,P_true_elephant,P_true_keyboard,P_true_knife,P_true_oven,P_true_truck
sequential,unassisted,all,high,clock,369,0.01038961038961039,0.007792207792207792,0.01038961038961039,0.023376623376623377,0.012987012987012988,0.01818181818181818,0.0025974025974025974,0.02077922077922078,0.01818181818181818,0.7688311688311689,0.015584415584415584,0.007792207792207792,0.03116883116883117,0.015584415584415584,0.01818181818181818,0.01818181818181818
sequential,unassisted,all,high,dog,323,0.017699115044247787,0.07964601769911504,0.035398230088495575,0.02064896755162242,0.02654867256637168,0.02064896755162242,0.017699115044247787,0.035398230088495575,0.029498525073746312,0.014749262536873156,0.5634218289085545,0.02359882005899705,0.011799410029498525,0.035398230088495575,0.02654867256637168,0.04129793510324484
sequential,unassisted,all,high,elephant,379,0.002531645569620253,0.02531645569620253,0.015189873417721518,0.007594936708860759,0.007594936708860759,0.017721518987341773,0.007594936708860759,0.012658227848101266,0.02531645569620253,0.005063291139240506,0.027848101265822784,0.7974683544303798,0.015189873417721518,0.010126582278481013,0.012658227848101266,0.010126582278481013
sequential,unassisted,all,high,keyboard,303,0.003134796238244514,0.006269592476489028,0.012539184952978056,0.012539184952978056,0.006269592476489028,0.01567398119122257,0.01567398119122257,0.009404388714733543,0.012539184952978056,0.012539184952978056,0.003134796238244514,0.009404388714733543,0.7836990595611285,0.03761755485893417,0.05329153605015674,0.006269592476489028
sequential,unassisted,all,high,knife,283,0.010033444816053512,0.013377926421404682,0.016722408026755852,0.006688963210702341,0.006688963210702341,0.020066889632107024,0.006688963210702341,0.013377926421404682,0.016722408026755852,0.010033444816053512,0.006688963210702341,0.006688963210702341,0.016722408026755852,0.8294314381270903,0.013377926421404682,0.006688963210702341
sequential,unassisted,all,high,oven,268,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.01056338028169014,0.014084507042253521,0.01056338028169014,0.014084507042253521,0.017605633802816902,0.014084507042253521,0.07394366197183098,0.01056338028169014,0.014084507042253521,0.028169014084507043,0.028169014084507043,0.7288732394366197,0.014084507042253521
sequential,unassisted,all,high,truck,308,0.043209876543209874,0.006172839506172839,0.012345679012345678,0.015432098765432098,0.0030864197530864196,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.015432098765432098,0.012345679012345678,0.012345679012345678,0.009259259259259259,0.009259259259259259,0.015432098765432098,0.018518518518518517,0.7901234567901234
sequential,assisted,below human,low,airplane,56,0.43796296296296294,0.022222222222222223,0.08425925925925926,0.008333333333333333,0.07592592592592592,0.040740740740740744,0.03888888888888889,0.02962962962962963,0.025,0.024074074074074074,0.023148148148148147,0.025925925925925925,0.10185185185185185,0.040740740740740744,0.01574074074074074,0.005555555555555556
sequential,assisted,below human,low,bear,94,0.02127659574468085,0.30234871511467254,0.048991434097817074,0.056065211384360325,0.005305332964907433,0.04830063553467809,0.08977618126554296,0.03036750483558994,0.06648245371649626,0.051644100580270795,0.07734180712904118,0.1050566454821774,0.014396242055816525,0.021718706825089803,0.014838353136225477,0.046090080132633326
sequential,assisted,below human,low,bicycle,40,0.01710863986313088,0.0034217279726261765,0.5923866552609068,0.00855431993156544,0.04180923866552609,0.006843455945252353,0.05453378956372969,0.010265183917878529,0.03325491873396065,0.0034217279726261765,0.03325491873396065,0.020530367835757058,0.03667664670658683,0.028122326775021387,0.022989734816082123,0.08682634730538921
sequential,assisted,below human,low,bird,116,0.04435127978817299,0.08399529273315681,0.06707855251544571,0.35929685201529865,0.03559870550161812,0.08105325095616357,0.011106207708149456,0.043762871432774346,0.018093556928508385,0.05656075316269491,0.05898793762871433,0.043762871432774346,0.0379523389232127,0.028611356281259194,0.011694616063548102,0.018093556928508385
sequential,assisted,below human,low,boat,118,0.15211231975714648,0.02383000252972426,0.035517328611181384,0.053073614975967624,0.28102706804958255,0.02200860106248419,0.05165696939033645,0.003238047052871237,0.037136352137617,0.08029344801416646,0.014950670376928916,0.01796104224639514,0.07343789526941563,0.04338477105995446,0.03652921831520364,0.07384265115102454
sequential,assisted,below human,low,bottle,101,0.007087763185324161,0.023347925786950174,0.022097144048363562,0.03356264331874088,0.0225140712945591,0.30644152595372104,0.02293099854075464,0.05628517823639775,0.03189493433395872,0.05711903272878882,0.024181780279341255,0.02126328955597248,0.09547633937877839,0.09422555764019178,0.12153429226599957,0.0600375234521576
sequential,assisted,below human,low,car,59,0.039509476031215164,0.05212931995540691,0.035942028985507246,0.033088071348940915,0.0528428093645485,0.06688963210702341,0.3494760312151617,0.03451505016722408,0.029030100334448163,0.008561872909698997,0.021181716833890748,0.036655518394648826,0.039509476031215164,0.021181716833890748,0.03879598662207358,0.14069119286510592
