design,condition,ai_level,confidence,human_label,n,P_true_airplane,P_true_bear,P_true_bicycle,P_true_bird,P_true_boat,P_true_bottle,P_true_car,P_true_cat,P_true_chair,P_true_clock,P_true_dog,P_true_elephant,P_true_keyboard,P_true_knife,P_true_oven,P_true_truck
concurrent,unassisted,all,medium,boat,49,0.07692307692307693,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.3076923076923077,0.06153846153846154,0.03076923076923077,0.03076923076923077,0.015384615384615385,0.046153846153846156,0.046153846153846156,0.015384615384615385,0.06153846153846154,0.09230769230769231,0.046153846153846156,0.07692307692307693
concurrent,unassisted,all,medium,bottle,39,0.01818181818181818,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.03636363636363636,0.34545454545454546,0.05454545454545454,0.01818181818181818,0.05454545454545454,0.03636363636363636,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.05454545454545454,0.14545454545454545,0.01818181818181818
concurrent,unassisted,all,medium,car,36,0.019230769230769232,0.019230769230769232,0.057692307692307696,0.038461538461538464,0.11538461538461539,0.057692307692307696,0.3076923076923077,0.038461538461538464,0.038461538461538464,0.019230769230769232,0.019230769230769232,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.11538461538461539
concurrent,unassisted,all,medium,cat,42,0.017241379310344827,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.05172413793103448,0.034482758620689655,0.2413793103448276,0.034482758620689655,0.05172413793103448,0.13793103448275862,0.08620689655172414,0.05172413793103448,0.017241379310344827,0.034482758620689655,0.034482758620689655
concurrent,unassisted,all,medium,chair,35,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.058823529411764705,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.058823529411764705,0.37254901960784315,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.13725490196078433,0.0196078431372549,0.058823529411764705
concurrent,unassisted,all,medium,clock,18,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.11764705882352941,0.058823529411764705,0.38235294117647056,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705
concurrent,unassisted,all,medium,dog,61,0.025974025974025976,0.1038961038961039,0.05194805194805195,0.025974025974025976,0.03896103896103896,0.06493506493506493,0.012987012987012988,0.025974025974025976,0.05194805194805195,0.05194805194805195,0.33766233766233766,0.07792207792207792,0.012987012987012988,0.03896103896103896,0.03896103896103896,0.03896103896103896
concurrent,unassisted,all,medium,elephant,34,0.02,0.14,0.08,0.04,0.02,0.02,0.02,0.02,0.06,0.04,0.06,0.38,0.02,0.02,0.04,0.02
concurrent,unassisted,all,medium,keyboard,39,0.05454545454545454,0.01818181818181818,0.01818181818181818,0.05454545454545454,0.03636363636363636,0.01818181818181818,0.03636363636363636,0.03636363636363636,0.05454545454545454,0.07272727272727272,0.03636363636363636,0.01818181818181818,0.32727272727272727,0.10909090909090909,0.07272727272727272,0.03636363636363636
concurrent,unassisted,all,medium,knife,22,0.02631578947368421,0.07894736842105263,0.02631578947368421,0.05263157894736842,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.10526315789473684,0.05263157894736842,0.02631578947368421,0.07894736842105263,0.2631578947368421,0.07894736842105263,0.02631578947368421
concurrent,unassisted,all,medium,oven,39,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.03636363636363636,0.03636363636363636,0.01818181818181818,0.10909090909090909,0.01818181818181818,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.4909090909090909,0.05454545454545454
concurrent,unassisted,all,medium,truck,24,0.1,0.05,0.025,0.025,0.05,0.05,0.025,0.025,0.025,0.05,0.025,0.025,0.05,0.05,0.05,0.375
concurrent,unassisted,all,high,airplane,139,0.7677419354838709,0.03225806451612903,0.01935483870967742,0.012903225806451613,0.01935483870967742,0.012903225806451613,0.012903225806451613,0.01935483870967742,0.0064516129032258064,0.012903225806451613,0.0064516129032258064,0.012903225806451613,0.0064516129032258064,0.01935483870967742,0.01935483870967742,0.01935483870967742
concurrent,unassisted,all,high,bear,141,0.01910828025477707,0.5923566878980892,0.01910828025477707,0.03821656050955414,0.012738853503184714,0.03184713375796178,0.03184713375796178,0.050955414012738856,0.012738853503184714,0.01910828025477707,0.03184713375796178,0.03821656050955414,0.025477707006369428,0.006369426751592357,0.03184713375796178,0.03821656050955414
concurrent,unassisted,all,high,bicycle,120,0.007352941176470588,0.007352941176470588,0.8308823529411765,0.007352941176470588,0.014705882352941176,0.007352941176470588,0.014705882352941176,0.007352941176470588,0.014705882352941176,0.007352941176470588,0.007352941176470588,0.014705882352941176,0.022058823529411766,0.007352941176470588,0.007352941176470588,0.022058823529411766
concurrent,unassisted,all,high,bird,117,0.022556390977443608,0.03007518796992481,0.022556390977443608,0.7368421052631579,0.007518796992481203,0.007518796992481203,0.022556390977443608,0.03007518796992481,0.015037593984962405,0.015037593984962405,0.022556390977443608,0.022556390977443608,0.007518796992481203,0.022556390977443608,0.007518796992481203,0.007518796992481203
