variant,architecture,level,Q,I_h_ind,I_h_pool,I_r,D_ind,D_pool,I_hr_ind,I_hr_pool,I_h_ind_lo,I_h_pool_lo,I_r_lo,D_ind_lo,D_pool_lo,I_hr_ind_lo,I_hr_pool_lo,I_h_ind_hi,I_h_pool_hi,I_r_hi,D_ind_hi,D_pool_hi,I_hr_ind_hi,I_hr_pool_hi,I_h_ind_leverage,I_h_ind_cook,I_h_ind_flag,I_h_pool_leverage,I_h_pool_cook,I_h_pool_flag,I_r_leverage,I_r_cook,I_r_flag,D_ind_leverage,D_ind_cook,D_ind_flag,D_pool_leverage,D_pool_cook,D_pool_flag,I_hr_ind_leverage,I_hr_ind_cook,I_hr_ind_flag,I_hr_pool_leverage,I_hr_pool_cook,I_hr_pool_flag
googlenet_epoch01,googlenet,epoch01,0.7489722934028341,0.276346740748395,0.43722629914297967,0.16162361814044998,0.11472312260794502,0.27560268100252966,0.18314374384818236,0.3096767075420371,0.24055317886449315,0.38191254568178984,0.1279397786654916,0.07413513122699832,0.22135924660005069,0.15216005841569005,0.26023911974866876,0.3108938451069895,0.4942072804744334,0.19668135634619222,0.154239957741989,0.33141420291955426,0.2146829017823105,0.3609096931861965,0.07386010721363376,0.0032590374017416874,False,0.07386010721363376,0.005337543305248692,False,0.07386010721363376,0.0013162312690169196,False,0.07386010721363376,0.0004064800371564111,False,0.07386010721363376,0.00011997666036721429,False,0.07386010721363376,4.2879286339491676e-05,False,0.07386010721363376,1.692869869702137e-05,False
googlenet_epoch10,googlenet,epoch10,0.8400390861153568,0.2951417541254605,0.4727703315575544,0.27217162933821326,0.02297012478724728,0.20059870221934117,0.1541589357627504,0.26908654812098004,0.25907582104413784,0.41683778495205165,0.22591883008425645,-0.025801662995060343,0.14216542087734896,0.12511625133056292,0.21928600637596599,0.33283377208750936,0.529631571642346,0.31798340411725506,0.07351321452322947,0.263906284237494,0.1846994644615198,0.3195011020977458,0.06466267072398474,0.038735574733298785,False,0.06466267072398474,0.03394324069199881,False,0.06466267072398474,0.010190838902528115,False,0.06466267072398474,0.033608338754533694,False,0.06466267072398474,0.03622030732980151,False,0.06466267072398474,0.025548133782993115,False,0.06466267072398474,0.02954352953049707,False
resnet152_baseline,resnet152,baseline,2.1304776979875593,1.0385445300132947,1.4072975971691104,0.08515950632659114,0.9533850236867034,1.3221380908425193,0.9657245241881459,1.3283110455507687,0.983024638593475,1.3363997233711515,0.06345667133564137,0.8985589663606226,1.2517867066658457,0.9130334478368866,1.2585435463248944,1.095432365217497,1.4796900932876775,0.10496601935995094,1.0087720282811794,1.39272029881039,1.0195012332159232,1.3980640941655034,0.1738195349573859,0.38302732803040723,True,0.1738195349573859,0.3680753430210095,True,0.1738195349573859,0.18044645315797964,False,0.1738195349573859,0.06440514271320125,False,0.1738195349573859,0.05328693573754196,False,0.1738195349573859,0.05833267037127013,False,0.1738195349573859,0.051742418462053894,False
resnet152_epoch00,resnet152,epoch00,1.1766174113503716,0.514398322907275,0.7804352442851307,0.30254114163992135,0.21185718126735362,0.47789410264520926,0.3284013882094578,0.5219098449956358,0.46979352813362224,0.7144254389820497,0.25688239443997213,0.16067008541700467,0.4139766220146878,0.29031112666171516,0.46297505313340953,0.5612191611363254,0.8471488012254285,0.34776326785544837,0.26355981152716385,0.5451147960057436,0.36820031337096454,0.5827806624722471,0.05000516488953165,0.012923920026034104,False,0.05000516488953165,4.362316114287356e-06,False,0.05000516488953165,0.010066326872665352,False,0.05000516488953165,0.02337742065709504,False,0.05000516488953165,0.012715687724232998,False,0.05000516488953165,0.020431198900338877,False,0.05000516488953165,0.013668416619692153,False
resnet152_epoch01,resnet152,epoch01,0.6902458887419202,0.27350726114909824,0.4457979671753555,0.17393407717997766,0.09957318396912057,0.27186388999537786,0.18165589904542084,0.3107503424335717,0.24020091535335542,0.39465292311495104,0.13557563425995658,0.05560625279813161,0.21736179769419917,0.15204909479486925,0.2620629400053157,0.3085796465729819,0.49811253626563884,0.21348558998188108,0.14355890227172885,0.3287752398963945,0.21223610226998177,0.3613555445484771,0.08097300130780602,0.00767821769833187,False,0.08097300130780602,0.017989296681698137,False,0.08097300130780602,0.0002454651865848115,False,0.08097300130780602,0.0023883311605879596,False,0.08097300130780602,0.0053383815250660355,False,0.08097300130780602,0.0062570326275950125,False,0.08097300130780602,0.007170786762349747,False
resnet152_epoch10,resnet152,epoch10,0.807699670847449,0.29213759029137754,0.4781108558842863,0.27585571716865076,0.01628187312272675,0.2022551387156355,0.15572263031123953,0.27198077321996794,0.25583875770874787,0.4210742983180538,0.2242902126952988,-0.03505331400159972,0.14202736251312734,0.1257041200974802,0.22232301154386186,0.32983820196171565,0.537001819772562,0.3268045790746673,0.06798293683401453,0.26441733894874747,0.18664621965893757,0.32419287791954704,0.06767371006029024,0.01809420270643506,False,0.06767371006029024,0.006731118694550011,False,0.06767371006029024,0.012271565527639182,False,0.06767371006029024,0.029595478328250515,False,0.06767371006029024,0.02537493930144806,False,0.06767371006029024,0.015113162224967567,False,0.06767371006029024,0.017559474210629096,False
vgg19_baseline,vgg19,baseline,2.3125477577600577,1.247311621627432,1.6365712466574307,0.2611119390806234,0.9861996825468087,1.3754593075768071,1.0195482889727663,1.3922602381340963,1.1879181767701141,1.5632876955007728,0.22491312519496567,0.9265031154597886,1.3002628965821774,0.9647831179756032,1.3201055907150008,1.3062331288041282,1.7086512930256919,0.2955656957937821,1.046289543163233,1.4485146056366702,1.0746117432555016,1.460361875908883,0.2252360322661603,0.019279089267936204,True,0.2252360322661603,0.00017059445355279036,True,0.2252360322661603,0.0015204548623474225,True,0.2252360322661603,0.008702321483159801,True,0.2252360322661603,0.0015033074723212548,True,0.2252360322661603,0.008090942833220736,True,0.2252360322661603,0.0017282033135662485,True
vgg19_epoch00,vgg19,epoch00,1.0752661783020268,0.4737159604636401,0.706358952671199,0.2369633140363299,0.2367526464273102,0.4693956386348691,0.3208585728047578,0.5098730209461596,0.4356923595858607,0.648542731524906,0.19280972546227498,0.18920961211058374,0.4085301592278099,0.2856429823880507,0.45365728672982436,0.515373692169384,0.7690020320336737,0.2783553758402378,0.28676169550542124,0.5320100954081759,0.3584856795218254,0.5666628217161376,0.05121622754719077,0.0019210681418709897,False,0.05121622754719077,9.72078994558845e-05,False,0.05121622754719077,0.001195215694401809,False,0.05121622754719077,0.0029540118850283083,False,0.05121622754719077,0.0012310401039827546,False,0.05121622754719077,0.0033981863501334106,False,0.05121622754719077,0.0010508788826278036,False
vgg19_epoch01,vgg19,epoch01,0.6081605353268423,0.18731880219212024,0.3113132930202514,0.054489048919969675,0.13282975327215055,0.2568242441002817,0.15679742688079448,0.2679026664489668,0.15859395708174098,0.2659668089355642,0.03426755424100794,0.10041277708389297,0.2114521705591831,0.13017880557023076,0.22438248663170163,0.21643130359774018,0.3578630074394698,0.07461882042764341,0.16471843627339966,0.3044981786391053,0.18501336667284143,0.312002789452228,0.09246784306635727,0.007342456482818511,False,0.09246784306635727,0.028077837514590878,False,0.09246784306635727,0.03903248006218818,False,0.09246784306635727,0.03623143842920749,False,0.09246784306635727,0.023910739978709468,False,0.09246784306635727,0.01799388404309494,False,0.09246784306635727,0.014412877337709039,False
vgg19_epoch10,vgg19,epoch10,0.4361701243202462,0.131384335472827,0.22371141669247063,0.03195335586848921,0.09943097960433778,0.19175806082398142,0.11449356038063382,0.20070398439839143,0.10728940036724587,0.18332428448424104,0.015266524881837462,0.0715596226891067,0.1502381394855078,0.09040927125920485,0.1611236802048264,0.15694661070032945,0.26434028398223036,0.049610232027724896,0.12808312651479953,0.2359170046007892,0.1389255850903716,0.24281189578863463,0.12242284422100477,0.031370328804283046,False,0.12242284422100477,0.0003340152589468057,False,0.12242284422100477,0.06728799423007033,False,0.12242284422100477,0.1249774703476338,False,0.12242284422100477,0.09078701197618987,False,0.12242284422100477,0.09711207937953484,False,0.12242284422100477,0.07295450434339279,False
