run,fold,noise,combiner,weights
main:densenet161_baseline,3,all,Frhp,"[0.26025918786579794, 0.05680527139919209, 0.6838010585669378]"
main:densenet161_baseline,3,all,Fh,"[0.40132457517878906, 0.8243506341724527]"
main:densenet161_baseline,3,all,Frh,"[0.3535046722169043, 0.05440389717440776, 0.8256747016714966]"
main:densenet161_baseline,4,all,F0,[0.6499374436217388]
main:densenet161_baseline,4,all,Fr,"[0.5713574877295573, 0.08233646468588657]"
main:densenet161_baseline,4,all,Fhp,"[0.3222784476399799, 0.676014448133392]"
main:densenet161_baseline,4,all,Frhp,"[0.27668072122935594, 0.04836517876869255, 0.6746446578875652]"
main:densenet161_baseline,4,all,Fh,"[0.3968559803371583, 0.8290679942328361]"
main:densenet161_baseline,4,all,Frh,"[0.3476068679791114, 0.05466696546086364, 0.8281698245724693]"
main:densenet161_baseline,5,all,F0,[0.6471643969714058]
main:densenet161_baseline,5,all,Fr,"[0.573592583272872, 0.07768306373639339]"
main:densenet161_baseline,5,all,Fhp,"[0.32127326709321696, 0.676558944274537]"
main:densenet161_baseline,5,all,Frhp,"[0.2698890007655511, 0.053269484282153556, 0.6747423277381516]"
main:densenet161_baseline,5,all,Fh,"[0.3906744060815522, 0.83201388356735]"
main:densenet161_baseline,5,all,Frh,"[0.3364673940206945, 0.05945768170796924, 0.8292103842693012]"
main:densenet161_epoch00,1,all,F0,[0.8698458426133722]
main:densenet161_epoch00,1,all,Fr,"[0.6196783582234856, 0.282738208153542]"
main:densenet161_epoch00,1,all,Fhp,"[0.5757224629402999, 0.565735275475783]"
main:densenet161_epoch00,1,all,Frhp,"[0.4464294915918547, 0.17864412771655747, 0.5460927832715654]"
main:densenet161_epoch00,1,all,Fh,"[0.6950049522828923, 0.6724690812728622]"
main:densenet161_epoch00,1,all,Frh,"[0.5304493266233083, 0.20460523823104326, 0.6435686831328806]"
main:densenet161_epoch00,2,all,F0,[0.8769397179858568]
main:densenet161_epoch00,2,all,Fr,"[0.6267795143098698, 0.2771098339237564]"
main:densenet161_epoch00,2,all,Fhp,"[0.5708890977056927, 0.5437408282500895]"
main:densenet161_epoch00,2,all,Frhp,"[0.4467712761352344, 0.16335247901216327, 0.5216832176218373]"
main:densenet161_epoch00,2,all,Fh,"[0.6933523995584929, 0.6529069262750585]"
main:densenet161_epoch00,2,all,Frh,"[0.5276694871888818, 0.19924633408807985, 0.6254540264974264]"
main:densenet161_epoch00,3,all,F0,[0.8719847943700876]
main:densenet161_epoch00,3,all,Fr,"[0.6383426955551492, 0.2597551831732169]"
main:densenet161_epoch00,3,all,Fhp,"[0.5621370572584758, 0.5594546413899081]"
main:densenet161_epoch00,3,all,Frhp,"[0.42927541367055966, 0.16938472922765224, 0.5423280713747245]"
main:densenet161_epoch00,3,all,Fh,"[0.6974254049852834, 0.6632426470923262]"
main:densenet161_epoch00,3,all,Frh,"[0.5378928530226921, 0.1888032173773192, 0.6381663911723268]"
main:densenet161_epoch00,4,all,F0,[0.8605026231458528]
main:densenet161_epoch00,4,all,Fr,"[0.6170458000352866, 0.2723116308977923]"
main:densenet161_epoch00,4,all,Fhp,"[0.5601319088900072, 0.5529550198412106]"
main:densenet161_epoch00,4,all,Frhp,"[0.4275188863969498, 0.1737443262098773, 0.5326677560338238]"
main:densenet161_epoch00,4,all,Fh,"[0.6822001567706455, 0.6708332399604836]"
main:densenet161_epoch00,4,all,Frh,"[0.5200812154419427, 0.19795208236601353, 0.6435237071026397]"
main:densenet161_epoch00,5,all,F0,[0.8735694747734775]
main:densenet161_epoch00,5,all,Fr,"[0.6312116591045588, 0.26934941856371064]"
main:densenet161_epoch00,5,all,Fhp,"[0.5665012885490264, 0.547538222819111]"
main:densenet161_epoch00,5,all,Frhp,"[0.4362488198278175, 0.17148446160792505, 0.5260815169917212]"
main:densenet161_epoch00,5,all,Fh,"[0.6961171437717395, 0.6659746150348023]"
main:densenet161_epoch00,5,all,Frh,"[0.534823767989745, 0.19308311901945802, 0.6351666190167182]"
main:densenet161_epoch01,1,all,F0,[0.9459647283612888]
main:densenet161_epoch01,1,all,Fr,"[0.5870101532075263, 0.3385500405367028]"
main:densenet161_epoch01,1,all,Fhp,"[0.6524061026320067, 0.5348167036789557]"
main:densenet161_epoch01,1,all,Frhp,"[0.32555897458605837, 0.30097163799148996, 0.5100646640647386]"
main:densenet161_epoch01,1,all,Fh,"[0.7760358753862975, 0.6311683207667542]"
main:densenet161_epoch01,1,all,Frh,"[0.4570162758557891, 0.2982466778672661, 0.5903313421069574]"
main:densenet161_epoch01,2,all,F0,[0.9612850268516293]
main:densenet161_epoch01,2,all,Fr,"[0.6137637923839568, 0.3289853627628488]"
main:densenet161_epoch01,2,all,Fhp,"[0.6682870085282858, 0.5147664318784742]"
main:densenet161_epoch01,2,all,Frhp,"[0.4089665361507715, 0.2432971936259083, 0.47722928806886883]"
main:densenet161_epoch01,2,all,Fh,"[0.7873145090986741, 0.6175378702553503]"
main:densenet161_epoch01,2,all,Frh,"[0.5016193104050155, 0.2722117434502688, 0.5702170572174662]"
main:densenet161_epoch01,3,all,F0,[0.926544284037508]
main:densenet161_epoch01,3,all,Fr,"[0.5858527968037018, 0.3252028803295057]"
main:densenet161_epoch01,3,all,Fhp,"[0.6046678868354648, 0.5211753906085053]"
main:densenet161_epoch01,3,all,Frhp,"[0.3202543869829268, 0.26526231962440006, 0.4922756643778786]"
main:densenet161_epoch01,3,all,Fh,"[0.7494511377525571, 0.6196559364466683]"
main:densenet161_epoch01,3,all,Frh,"[0.45790120317895905, 0.2777612209859856, 0.5770240738926122]"
main:densenet161_epoch01,4,all,F0,[0.9588753242062844]
main:densenet161_epoch01,4,all,Fr,"[0.6202972668213543, 0.3162247780028557]"
main:densenet161_epoch01,4,all,Fhp,"[0.6682445279849123, 0.5114727644952737]"
main:densenet161_epoch01,4,all,Frhp,"[0.4226506503949254, 0.2396704366117287, 0.48375396678533844]"
main:densenet161_epoch01,4,all,Fh,"[0.7921517246112841, 0.618738420764321]"
main:densenet161_epoch01,4,all,Frh,"[0.505797598665507, 0.26667902748719297, 0.5815390010282098]"
main:densenet161_epoch01,5,all,F0,[0.9571939178220673]
main:densenet161_epoch01,5,all,Fr,"[0.6199973416321487, 0.3228578608300866]"
main:densenet161_epoch01,5,all,Fhp,"[0.6535750317914558, 0.5069764063766129]"
main:densenet161_epoch01,5,all,Frhp,"[0.4196914596961825, 0.23973459952565102, 0.47394160590488643]"
main:densenet161_epoch01,5,all,Fh,"[0.7782839883352757, 0.6111195193396199]"
main:densenet161_epoch01,5,all,Frh,"[0.5035803858162478, 0.2701456477668437, 0.5694772499020851]"
main:densenet161_epoch10,1,all,F0,[0.9936608906948381]
main:densenet161_epoch10,1,all,Fr,"[0.7348093667852582, 0.2533735208624029]"
main:densenet161_epoch10,1,all,Fhp,"[0.7641034945965364, 0.49328340586949604]"
