forecast,noise_level,bin_lo,bin_hi,n,mean_pred,obs_freq
"F(a, r_a, h) pooled",80,0.6,0.7,13,0.6539639724793374,0.7692307692307693
"F(a, r_a, h) pooled",80,0.7,0.8,23,0.748761221966334,0.782608695652174
"F(a, r_a, h) pooled",80,0.8,0.9,34,0.8517730149959737,0.8823529411764706
"F(a, r_a, h) pooled",80,0.9,0.95,34,0.9270919988411208,0.9411764705882353
"F(a, r_a, h) pooled",80,0.95,1.0,769,0.9831805831832494,0.9973992197659298
"F(a, r_a, h) pooled",95,0.0,0.01,12937,0.0013159045378964903,0.0004637860400401948
"F(a, r_a, h) pooled",95,0.01,0.02,206,0.013762900524237029,0.009708737864077669
"F(a, r_a, h) pooled",95,0.02,0.05,162,0.03163585979056309,0.006172839506172839
"F(a, r_a, h) pooled",95,0.05,0.1,75,0.0732748020964744,0.05333333333333334
"F(a, r_a, h) pooled",95,0.1,0.2,61,0.14164909705301804,0.13114754098360656
"F(a, r_a, h) pooled",95,0.2,0.3,34,0.24891730714157698,0.2647058823529412
"F(a, r_a, h) pooled",95,0.3,0.4,26,0.3596380395741367,0.34615384615384615
"F(a, r_a, h) pooled",95,0.4,0.5,24,0.4574337206237833,0.5
"F(a, r_a, h) pooled",95,0.5,0.6,21,0.5465905529594939,0.6190476190476191
"F(a, r_a, h) pooled",95,0.6,0.7,19,0.6537141072263444,0.6842105263157895
"F(a, r_a, h) pooled",95,0.7,0.8,24,0.7554977430673683,0.9583333333333334
"F(a, r_a, h) pooled",95,0.8,0.9,40,0.8552874252158347,0.875
"F(a, r_a, h) pooled",95,0.9,0.95,35,0.9312109253744213,0.9428571428571428
"F(a, r_a, h) pooled",95,0.95,1.0,736,0.982680420482585,0.9945652173913043
"F(a, r_a, h) pooled",110,0.0,0.01,12653,0.0014205414136018485,0.000869359045285703
"F(a, r_a, h) pooled",110,0.01,0.02,299,0.014064234500124544,0.006688963210702341
"F(a, r_a, h) pooled",110,0.02,0.05,248,0.030995275814236518,0.028225806451612902
"F(a, r_a, h) pooled",110,0.05,0.1,127,0.07173588257804447,0.07874015748031496
"F(a, r_a, h) pooled",110,0.1,0.2,95,0.13561302427520272,0.12631578947368421
"F(a, r_a, h) pooled",110,0.2,0.3,43,0.24725722181785662,0.20930232558139536
"F(a, r_a, h) pooled",110,0.3,0.4,40,0.3462320230414653,0.25
"F(a, r_a, h) pooled",110,0.4,0.5,34,0.43919032709608796,0.5
"F(a, r_a, h) pooled",110,0.5,0.6,25,0.5422093987216055,0.6
"F(a, r_a, h) pooled",110,0.6,0.7,23,0.6571784228347759,0.7391304347826086
"F(a, r_a, h) pooled",110,0.7,0.8,33,0.7466095993226946,0.8787878787878788
"F(a, r_a, h) pooled",110,0.8,0.9,65,0.8521320824952715,0.8615384615384616
"F(a, r_a, h) pooled",110,0.9,0.95,38,0.9276191023927863,0.9210526315789473
"F(a, r_a, h) pooled",110,0.95,1.0,677,0.981949455358303,0.9896602658788775
"F(a, r_a, h) pooled",125,0.0,0.01,11731,0.0017720890013664136,0.001022930696445316
"F(a, r_a, h) pooled",125,0.01,0.02,579,0.014107049792185801,0.025906735751295335
"F(a, r_a, h) pooled",125,0.02,0.05,551,0.0316903261808822,0.041742286751361164
"F(a, r_a, h) pooled",125,0.05,0.1,277,0.07022310198229399,0.08303249097472924
"F(a, r_a, h) pooled",125,0.1,0.2,226,0.14113718874596548,0.11504424778761062
"F(a, r_a, h) pooled",125,0.2,0.3,95,0.2488342852103066,0.23157894736842105
"F(a, r_a, h) pooled",125,0.3,0.4,70,0.3537995229143602,0.4
"F(a, r_a, h) pooled",125,0.4,0.5,75,0.45019324090812424,0.4266666666666667
"F(a, r_a, h) pooled",125,0.5,0.6,47,0.5514122912433338,0.6170212765957447
"F(a, r_a, h) pooled",125,0.6,0.7,44,0.6607809139349312,0.6818181818181818
"F(a, r_a, h) pooled",125,0.7,0.8,45,0.7528733201694153,0.7777777777777778
"F(a, r_a, h) pooled",125,0.8,0.9,91,0.8476217476487372,0.8021978021978022
"F(a, r_a, h) pooled",125,0.9,0.95,67,0.9242459083008222,0.8656716417910447
"F(a, r_a, h) pooled",125,0.95,1.0,502,0.9803499193136735,0.9840637450199203
α = 1 uniform row (robustness 7),80,0.0,0.01,51630,0.005113259719349035,0.001568855316676351
α = 1 uniform row (robustness 7),80,0.01,0.02,14975,0.01415730415473421,0.005742904841402338
α = 1 uniform row (robustness 7),80,0.02,0.05,11373,0.029491288653520027,0.018464785017145872
α = 1 uniform row (robustness 7),80,0.05,0.1,2871,0.06657150254574606,0.04179728317659352
α = 1 uniform row (robustness 7),80,0.1,0.2,643,0.12872443636905054,0.09797822706065319
α = 1 uniform row (robustness 7),80,0.2,0.3,187,0.25242489727593664,0.45989304812834225
α = 1 uniform row (robustness 7),80,0.3,0.4,193,0.35244766139261163,0.48186528497409326
α = 1 uniform row (robustness 7),80,0.4,0.5,143,0.45327572910709696,0.6013986013986014
α = 1 uniform row (robustness 7),80,0.5,0.6,391,0.5546987504902264,0.8132992327365729
α = 1 uniform row (robustness 7),80,0.6,0.7,445,0.6423429109255433,0.7910112359550562
α = 1 uniform row (robustness 7),80,0.7,0.8,26,0.7276535748981214,0.7307692307692307
α = 1 uniform row (robustness 7),80,0.8,0.9,2255,0.8719973820011236,0.9494456762749446
α = 1 uniform row (robustness 7),80,0.9,0.95,1828,0.9199390420443793,0.973741794310722
α = 1 uniform row (robustness 7),95,0.0,0.01,42449,0.005674295950846233,0.0022850950552427618
α = 1 uniform row (robustness 7),95,0.01,0.02,22066,0.014087959928650815,0.005936735248799057
α = 1 uniform row (robustness 7),95,0.02,0.05,12302,0.031132805472432273,0.01853357177694684
α = 1 uniform row (robustness 7),95,0.05,0.1,3552,0.068476575587771,0.05264639639639639
α = 1 uniform row (robustness 7),95,0.1,0.2,1041,0.13368128780692895,0.13064361191162344
α = 1 uniform row (robustness 7),95,0.2,0.3,306,0.23719204160386198,0.2581699346405229
α = 1 uniform row (robustness 7),95,0.3,0.4,282,0.34028106688776455,0.4787234042553192
α = 1 uniform row (robustness 7),95,0.4,0.5,59,0.4412067875802614,0.5932203389830508
α = 1 uniform row (robustness 7),95,0.5,0.6,347,0.5557601846853564,0.7579250720461095
α = 1 uniform row (robustness 7),95,0.6,0.7,715,0.657233339777422,0.8363636363636363
α = 1 uniform row (robustness 7),95,0.7,0.8,540,0.7485498457768032,0.8481481481481481
α = 1 uniform row (robustness 7),95,0.8,0.9,2084,0.8689068513889003,0.9438579654510557
α = 1 uniform row (robustness 7),95,0.9,0.95,1137,0.915144638768072,0.9815303430079155
α = 1 uniform row (robustness 7),110,0.0,0.01,30804,0.006449802999707455,0.0034086482275029217
α = 1 uniform row (robustness 7),110,0.01,0.02,25991,0.014007817091191494,0.00707937362933323
α = 1 uniform row (robustness 7),110,0.02,0.05,16407,0.03240342793290657,0.024501737063448527
α = 1 uniform row (robustness 7),110,0.05,0.1,6563,0.06701414485556019,0.05180557671796435
α = 1 uniform row (robustness 7),110,0.1,0.2,1666,0.129197230073314,0.117046818727491
α = 1 uniform row (robustness 7),110,0.2,0.3,821,0.236090045559047,0.2557856272838002
α = 1 uniform row (robustness 7),110,0.3,0.4,423,0.3483501287151694,0.43498817966903075
α = 1 uniform row (robustness 7),110,0.4,0.5,304,0.4601319918005922,0.6414473684210527
α = 1 uniform row (robustness 7),110,0.5,0.6,546,0.550755423104285,0.6648351648351648
α = 1 uniform row (robustness 7),110,0.6,0.7,810,0.6404026104973372,0.7839506172839507
α = 1 uniform row (robustness 7),110,0.7,0.8,390,0.7644656368376564,0.8538461538461538
α = 1 uniform row (robustness 7),110,0.8,0.9,2234,0.8547649347541671,0.9404655326768129
α = 1 uniform row (robustness 7),110,0.9,0.95,209,0.9107963579536864,0.9617224880382775
α = 1 uniform row (robustness 7),125,0.0,0.01,11497,0.00763952436485059,0.0061755240497521095
α = 1 uniform row (robustness 7),125,0.01,0.02,24887,0.014238404712949128,0.010929400892031985
α = 1 uniform row (robustness 7),125,0.02,0.05,28605,0.03242415672190895,0.028072015381926236
α = 1 uniform row (robustness 7),125,0.05,0.1,13511,0.06764937082027088,0.054548145955147655
α = 1 uniform row (robustness 7),125,0.1,0.2,2870,0.13025965105559736,0.11637630662020906
α = 1 uniform row (robustness 7),125,0.2,0.3,1586,0.24802850444759603,0.287515762925599
α = 1 uniform row (robustness 7),125,0.3,0.4,549,0.3484532880116815,0.3551912568306011
α = 1 uniform row (robustness 7),125,0.4,0.5,547,0.4404902911103896,0.5191956124314442
α = 1 uniform row (robustness 7),125,0.5,0.6,704,0.5424567414670456,0.6732954545454546
α = 1 uniform row (robustness 7),125,0.6,0.7,663,0.637914611754421,0.7631975867269984
α = 1 uniform row (robustness 7),125,0.7,0.8,726,0.7506326808704198,0.8815426997245179
α = 1 uniform row (robustness 7),125,0.8,0.9,719,0.8290123049598169,0.913769123783032
