forecast,noise_level,bin_lo,bin_hi,n,mean_pred,obs_freq
F0: recalibrated (a),95,0.8,0.9,71,0.8561753728010375,0.8169014084507042
F0: recalibrated (a),95,0.9,0.95,67,0.9299388011159356,0.8507462686567164
F0: recalibrated (a),95,0.95,1.0,581,0.9819611378801577,0.9896729776247849
F0: recalibrated (a),110,0.0,0.01,11793,0.0015221714599093984,0.0007631645891630628
F0: recalibrated (a),110,0.01,0.02,506,0.014255774373153065,0.019762845849802372
F0: recalibrated (a),110,0.02,0.05,529,0.03196655380361017,0.03213610586011342
F0: recalibrated (a),110,0.05,0.1,310,0.07146884830960046,0.08709677419354839
F0: recalibrated (a),110,0.1,0.2,233,0.14009228630950757,0.1459227467811159
F0: recalibrated (a),110,0.2,0.3,95,0.2486355224589116,0.37894736842105264
F0: recalibrated (a),110,0.3,0.4,69,0.3443519153646432,0.3333333333333333
F0: recalibrated (a),110,0.4,0.5,51,0.45356147825195586,0.5098039215686274
F0: recalibrated (a),110,0.5,0.6,49,0.5544990337496943,0.4489795918367347
F0: recalibrated (a),110,0.6,0.7,53,0.648238564990486,0.5849056603773585
F0: recalibrated (a),110,0.7,0.8,55,0.7461617796839835,0.7090909090909091
F0: recalibrated (a),110,0.8,0.9,88,0.8549944718325861,0.7840909090909091
F0: recalibrated (a),110,0.9,0.95,63,0.9285850918507157,0.873015873015873
F0: recalibrated (a),110,0.95,1.0,506,0.9808494002350842,0.9920948616600791
F0: recalibrated (a),125,0.0,0.01,10771,0.0018040370741695367,0.0012069445733915143
F0: recalibrated (a),125,0.01,0.02,809,0.014177934642936565,0.0173053152039555
F0: recalibrated (a),125,0.02,0.05,900,0.03178448570005843,0.03333333333333333
F0: recalibrated (a),125,0.05,0.1,474,0.07066610148879833,0.08227848101265822
F0: recalibrated (a),125,0.1,0.2,343,0.14261040653010876,0.16326530612244897
F0: recalibrated (a),125,0.2,0.3,168,0.24510148421414185,0.19642857142857142
F0: recalibrated (a),125,0.3,0.4,105,0.34408447803505177,0.45714285714285713
F0: recalibrated (a),125,0.4,0.5,87,0.4460985004116173,0.4942528735632184
F0: recalibrated (a),125,0.5,0.6,72,0.5451638568253283,0.5138888888888888
F0: recalibrated (a),125,0.6,0.7,66,0.648379730198963,0.5757575757575758
F0: recalibrated (a),125,0.7,0.8,64,0.743326985610774,0.703125
F0: recalibrated (a),125,0.8,0.9,109,0.8536824491650603,0.8073394495412844
F0: recalibrated (a),125,0.9,0.95,72,0.9257778458808159,0.8611111111111112
F0: recalibrated (a),125,0.95,1.0,360,0.979555447135811,0.9833333333333333
"F(a, h) individual",80,0.0,0.01,77933,0.001210030638202223,0.00044910371729562574
"F(a, h) individual",80,0.01,0.02,1123,0.014071614673155075,0.01068566340160285
"F(a, h) individual",80,0.02,0.05,1034,0.031685273271611816,0.033849129593810444
"F(a, h) individual",80,0.05,0.1,544,0.07123410438093605,0.05330882352941176
"F(a, h) individual",80,0.1,0.2,452,0.13858603926762064,0.1902654867256637
"F(a, h) individual",80,0.2,0.3,251,0.24768690897991938,0.30278884462151395
"F(a, h) individual",80,0.3,0.4,168,0.3519457964482931,0.34523809523809523
