noise_level,confidence,human_label,n,P_true_airplane,P_true_bear,P_true_bicycle,P_true_bird,P_true_boat,P_true_bottle,P_true_car,P_true_cat,P_true_chair,P_true_clock,P_true_dog,P_true_elephant,P_true_keyboard,P_true_knife,P_true_oven,P_true_truck
80,high,keyboard,308,0.0,0.0001541604039002582,5.138680130008608e-05,0.00010277360260017215,5.138680130008608e-05,0.013424801839647487,0.003137806554386506,0.00010277360260017215,0.00025693400650043035,0.00642977351267327,0.0,0.0,0.9432657596896238,0.006326999910073097,0.026541282871494456,0.0001541604039002582
80,high,knife,293,5.746940652062254e-05,0.0,5.746940652062254e-05,5.746940652062254e-05,5.746940652062254e-05,0.0,0.0,0.00011493881304124508,0.0033511847677338016,5.746940652062254e-05,0.0,0.003293715361213179,0.006644900128946981,0.9829567291287278,0.003293715361213179,5.746940652062254e-05
80,high,oven,164,0.0,0.0,0.00022222222222222223,0.011555555555555557,0.0,0.0077777777777777776,0.0,0.0,0.018000000000000002,0.02688888888888889,0.0,0.0,0.006444444444444444,0.0071111111111111115,0.9217777777777777,0.00022222222222222223
80,high,truck,229,0.0003573522432228705,0.0,8.933806080571763e-05,8.933806080571763e-05,0.008699293670956754,0.0041709707138669425,0.014031659175298026,0.00017867612161143526,0.00017867612161143526,0.0,0.0041709707138669425,0.0,0.004260308774672659,8.933806080571763e-05,0.004975013261118401,0.9587090650213573
95,low,airplane,18,0.34294688749286123,0.13392347230154197,0.009137635636778982,0.013706453455168476,0.045688178183894916,0.03198172472872644,0.004568817818389491,0.034266133637921185,0.1473443746430611,0.018275271273557964,0.018275271273557964,0.04083380925185608,0.054540262707024556,0.08623643632210165,0.009137635636778982,0.009137635636778982
95,low,bear,56,0.0012919896640826874,0.5332687338501292,0.01227390180878553,0.054586563307493535,0.0,0.03617571059431525,0.0006459948320413437,0.06782945736434108,0.03488372093023256,0.0006459948320413437,0.20025839793281655,0.01937984496124031,0.002583979328165375,0.0012919896640826874,0.001937984496124031,0.03294573643410852
95,low,bicycle,24,0.004123711340206186,0.020618556701030927,0.5605670103092784,0.04355670103092783,0.012371134020618558,0.020618556701030927,0.002061855670103093,0.03324742268041237,0.06005154639175257,0.03324742268041237,0.06005154639175257,0.0768041237113402,0.002061855670103093,0.004123711340206186,0.05824742268041237,0.008247422680412371
95,low,bird,42,0.0018894662257912139,0.0944733112895607,0.069674067076051,0.3996221067548418,0.004723665564478035,0.043930089749645726,0.0,0.052432687765706185,0.059282002834199335,0.005668398677373641,0.12895606991025035,0.07250826641473783,0.004723665564478035,0.0410958904109589,0.021020311761927254,0.0
95,low,boat,61,0.009874423097563593,0.06311044327573254,0.032413867124610925,0.04797681657185789,0.28002575936460233,0.05184072126220887,0.005151872920467962,0.060534506815498546,0.09681227863046045,0.04797681657185789,0.03413115809810025,0.025866695288182893,0.031125898894493936,0.13148009015777612,0.05967586132875389,0.02200279059783192
95,low,bottle,62,0.0014864362690449647,0.005202526941657377,0.008918617614269788,0.0014864362690449647,0.032329988851727984,0.6830174656261613,0.0007432181345224824,0.04292084726867335,0.12114455592716461,0.018023039762170196,0.0029728725380899295,0.004459308807134894,0.0,0.023225566703827576,0.05258268301746562,0.0014864362690449647
95,low,car,35,0.014939309056956115,0.030812324929971987,0.02832244008714597,0.004979769685652038,0.09710550887021475,0.07749766573295985,0.20323685029567384,0.0037348272642390287,0.04201680672268907,0.052910052910052914,0.0700280112044818,0.013694366635543105,0.009959539371304076,0.0837223778400249,0.1549953314659197,0.11204481792717087
95,low,cat,53,0.0012334258402713536,0.18501387604070305,0.0545790934320074,0.08202281837804501,0.0012334258402713536,0.037619488128276285,0.0018501387604070304,0.3999383287079864,0.02744372494603762,0.003083564600678384,0.16682084489670057,0.02867715078630897,0.004316990440949737,0.002466851680542707,0.003083564600678384,0.0006167129201356768
95,low,chair,74,0.013090819104182132,0.027369463004206878,0.015466468695867359,0.001979707993071022,0.028953229398663696,0.14162336055431826,0.0007918831972284088,0.05196733481811433,0.4204899777282851,0.028557287800049493,0.004751299183370453,0.07735708982925019,0.04085622370700322,0.043231873298688446,0.10074239049740163,0.002771591190299431
95,low,clock,38,0.0013468013468013467,0.014814814814814815,0.02929292929292929,0.02255892255892256,0.0013468013468013467,0.057239057239057235,0.0026936026936026933,0.00404040404040404,0.1632996632996633,0.47575757575757577,0.00404040404040404,0.00808080808080808,0.03198653198653199,0.03198653198653199,0.12356902356902356,0.027946127946127945
95,low,dog,46,0.0013582342954159593,0.23446519524617998,0.004753820033955857,0.029711375212224108,0.0027164685908319186,0.03242784380305603,0.0006791171477079797,0.09898132427843803,0.02631578947368421,0.04108658743633277,0.4174872665534805,0.09371816638370119,0.005432937181663837,0.0020373514431239388,0.0020373514431239388,0.006791171477079796
95,low,elephant,27,0.0,0.04869807195388591,0.01272112900019877,0.01590141125024846,0.031206519578612604,0.06241303915722521,0.0,0.006360564500099385,0.05346849532896044,0.0,0.05028821307891076,0.70304114490161,0.0015901411250248462,0.0031802822500496923,0.006360564500099385,0.004770423375074538
95,low,keyboard,80,0.003232758620689655,0.002514367816091954,0.0010775862068965517,0.0014367816091954023,0.01293103448275862,0.05172413793103448,0.0014367816091954023,0.0021551724137931034,0.09770114942528736,0.08441091954022989,0.01185344827586207,0.014008620689655173,0.305316091954023,0.14044540229885058,0.2683189655172414,0.0014367816091954023
95,low,knife,22,0.0022160664819944596,0.015512465373961217,0.03961218836565097,0.0,0.037396121883656507,0.02880886426592798,0.004432132963988919,0.00664819944598338,0.1562326869806094,0.06371191135734072,0.00664819944598338,0.017728531855955677,0.017728531855955677,0.5833795013850416,0.0110803324099723,0.008864265927977838
95,low,oven,98,0.0011295845246920117,0.0011295845246920117,0.0016943767870380175,0.0,0.0022591690493840235,0.07269935401884994,0.00028239613117300293,0.0005647922623460059,0.09589113629143281,0.052613929189170114,0.010748702742772424,0.011313495005118432,0.05827950157082848,0.021779801616717852,0.6404744255003707,0.02913975078541424
95,low,truck,38,0.03817798841495525,0.04124978058627348,0.00280849569949096,0.00140424784974548,0.19475162366157625,0.07661927330173776,0.00421274354923644,0.00140424784974548,0.11927330173775672,0.022731262067754957,0.00280849569949096,0.0070212392487274,0.01123398279796384,0.04967526768474636,0.19729682288923997,0.22933122696155872
95,medium,airplane,52,0.8996539792387542,0.0,0.001977261492832427,0.002965892239248641,0.010874938210578349,0.0,0.03435491843796342,0.0009886307464162135,0.002965892239248641,0.0,0.01866040533860603,0.0,0.0,0.020637666831438455,0.003954522985664854,0.002965892239248641
95,medium,bear,90,0.0,0.864512984752489,0.009990948966093436,0.009990948966093436,0.0011139734038849822,0.010547935668035925,0.0,0.0244377915477268,0.0,0.0005569867019424911,0.06551556081598552,0.0122188957738634,0.0005569867019424911,0.0,0.0,0.0005569867019424911
95,medium,bicycle,51,0.0,0.01854364540931705,0.9496457108397407,0.0,0.0012060907583295644,0.0,0.0012060907583295644,0.0,0.019749736167646616,0.0012060907583295644,0.0012060907583295644,0.0,0.002412181516659129,0.0,0.003618272274988693,0.0012060907583295644
