noise_level,bin_lo,bin_hi,n,mean_pred,obs_freq,forecast
125,0.1,0.2,106,0.13921338528879895,0.18867924528301888,raw baseline (a)
125,0.2,0.3,54,0.24727963685296003,0.2037037037037037,raw baseline (a)
125,0.3,0.4,35,0.344854279136547,0.42857142857142855,raw baseline (a)
125,0.4,0.5,22,0.4426849440188045,0.4090909090909091,raw baseline (a)
125,0.5,0.6,15,0.5362713660186168,0.4666666666666667,raw baseline (a)
125,0.6,0.7,20,0.6418074672834856,0.5,raw baseline (a)
125,0.7,0.8,16,0.7360964009646,0.625,raw baseline (a)
125,0.8,0.9,32,0.8462567437644495,0.84375,raw baseline (a)
125,0.9,0.95,27,0.9281934727860838,0.8518518518518519,raw baseline (a)
125,0.95,1.0,110,0.9805324580583803,0.9818181818181818,raw baseline (a)
80,0.0,0.01,3797,0.0012969368532304286,0.0007900974453515934,F0: recalibrated (a)
80,0.01,0.02,78,0.014528846064133117,0.038461538461538464,F0: recalibrated (a)
80,0.02,0.05,77,0.02952281040399542,0.025974025974025976,F0: recalibrated (a)
80,0.05,0.1,31,0.07657075807158714,0.0967741935483871,F0: recalibrated (a)
80,0.1,0.2,36,0.1439722362407954,0.16666666666666666,F0: recalibrated (a)
80,0.2,0.3,15,0.25294609547443747,0.3333333333333333,F0: recalibrated (a)
80,0.3,0.4,17,0.3447288433714716,0.29411764705882354,F0: recalibrated (a)
80,0.4,0.5,11,0.4535140719124952,0.36363636363636365,F0: recalibrated (a)
80,0.5,0.6,12,0.545260720711412,0.5,F0: recalibrated (a)
80,0.6,0.7,15,0.6589580499607889,0.6666666666666666,F0: recalibrated (a)
80,0.7,0.8,5,0.7417676953752177,0.8,F0: recalibrated (a)
80,0.8,0.9,16,0.8587267553452675,0.8125,F0: recalibrated (a)
80,0.9,0.95,14,0.9309268823118385,0.8571428571428571,F0: recalibrated (a)
80,0.95,1.0,196,0.982449752531134,0.9897959183673469,F0: recalibrated (a)
95,0.0,0.01,3716,0.001362685156392964,0.0005382131324004305,F0: recalibrated (a)
95,0.01,0.02,102,0.014399393319393142,0.029411764705882353,F0: recalibrated (a)
95,0.02,0.05,111,0.030637374571843616,0.05405405405405406,F0: recalibrated (a)
95,0.05,0.1,43,0.07395584017143204,0.023255813953488372,F0: recalibrated (a)
95,0.1,0.2,40,0.14426260265813795,0.2,F0: recalibrated (a)
95,0.2,0.3,22,0.2581414054470066,0.3181818181818182,F0: recalibrated (a)
95,0.3,0.4,20,0.3511157680045697,0.35,F0: recalibrated (a)
95,0.4,0.5,12,0.43985136616222126,0.25,F0: recalibrated (a)
95,0.5,0.6,16,0.5465874605342611,0.625,F0: recalibrated (a)
95,0.6,0.7,13,0.6497192372584617,0.6153846153846154,F0: recalibrated (a)
95,0.7,0.8,10,0.7481840908329265,0.7,F0: recalibrated (a)
95,0.8,0.9,14,0.851883828318101,0.8571428571428571,F0: recalibrated (a)
95,0.9,0.95,19,0.9359880688332813,0.8947368421052632,F0: recalibrated (a)
95,0.95,1.0,182,0.9821581873060359,0.9835164835164835,F0: recalibrated (a)
110,0.0,0.01,3577,0.0015264509487035315,0.0005591277606933184,F0: recalibrated (a)
110,0.01,0.02,159,0.014280929624742148,0.012578616352201259,F0: recalibrated (a)
110,0.02,0.05,137,0.033618809153544565,0.029197080291970802,F0: recalibrated (a)
110,0.05,0.1,72,0.0712901508263118,0.1388888888888889,F0: recalibrated (a)
110,0.1,0.2,68,0.14167137530470472,0.16176470588235295,F0: recalibrated (a)
110,0.2,0.3,21,0.24504626118091916,0.42857142857142855,F0: recalibrated (a)
110,0.3,0.4,22,0.34749372516430266,0.3181818181818182,F0: recalibrated (a)
110,0.4,0.5,20,0.4380685766553465,0.5,F0: recalibrated (a)
110,0.5,0.6,16,0.555338580442347,0.25,F0: recalibrated (a)
110,0.6,0.7,13,0.6554412695484936,0.5384615384615384,F0: recalibrated (a)
110,0.7,0.8,11,0.7548066801628476,0.9090909090909091,F0: recalibrated (a)
110,0.8,0.9,28,0.8544457238774097,0.7857142857142857,F0: recalibrated (a)
110,0.9,0.95,18,0.9271039057722076,0.8333333333333334,F0: recalibrated (a)
110,0.95,1.0,158,0.9811602094614943,0.9936708860759493,F0: recalibrated (a)
125,0.0,0.01,3222,0.00180719178041194,0.000931098696461825,F0: recalibrated (a)
125,0.01,0.02,245,0.014209318572351245,0.004081632653061225,F0: recalibrated (a)
125,0.02,0.05,284,0.03234837979775787,0.04929577464788732,F0: recalibrated (a)
125,0.05,0.1,131,0.07051307293682015,0.0916030534351145,F0: recalibrated (a)
125,0.1,0.2,107,0.13912238590570297,0.18691588785046728,F0: recalibrated (a)
125,0.2,0.3,55,0.24783764269432235,0.2,F0: recalibrated (a)
125,0.3,0.4,34,0.34492838224136585,0.4411764705882353,F0: recalibrated (a)
125,0.4,0.5,22,0.44106668519604464,0.4090909090909091,F0: recalibrated (a)
